5_Day_Dates,Fin_Sec_Loss,Change_3_M_TR,Change_TR_Slope,TED,Baa_3_M_TR,SP_500,RE_excess_FS,SP_500_Vol
4/30/2010,0.065745285,-0.03,-0.21,0.19,0.071428571,-0.063883525,0.008008151,0.00925228
5/7/2010,-0.016486935,0.03,-0.04,0.3,0.015686275,0.022324688,0.013579668,0.012977698
5/14/2010,0.038491618,0.01,-0.25,0.29,0.065637066,-0.042256719,-0.0027055,0.016883702
5/21/2010,0.005198571,-0.01,0.12,0.33,0.047101449,0.001581419,0.02453062,0.018686798
5/28/2010,0.055599005,-0.04,-0.1,0.38,0.038062284,-0.035744175,-0.007472005,0.019786279
6/7/2010,-0.041331025,-0.05,0.16,0.42,0.02,0.037278585,0.054230509,0.020953403
6/14/2010,-0.027219491,0.05,-0.07,0.47,-0.013071895,0.021631146,-0.018687173,0.018370177
6/21/2010,0.019952845,0.05,-0.26,0.42,0.026490066,-0.034701767,-0.016078804,0.018443001
6/28/2010,0.061938959,0,-0.1,0.36,-0.016129032,-0.043282326,-0.020647226,0.016558242
7/6/2010,-0.095770335,-0.02,0.22,0.36,-0.006557377,0.065443557,0.012144324,0.014580694
7/13/2010,4.22E-02,0.01,-0.18,0.38,-0.01320132,-0.010827676,0.036979886,0.013156715
7/20/2010,-0.036689887,-0.01,0.11,0.35,-0.030100334,0.028020809,0.013391292,0.013846949
7/27/2010,-0.007950748,0.01,-0.15,0.33,0.006896552,0.005943399,0.01208969,0.014295263
8/3/2010,0.01322816,-0.01,-0.14,0.27,0.044520548,0.000535582,0.009322137,0.01288976
8/10/2010,0.039650538,0.02,-0.17,0.25,-0.019672131,-0.025440225,0.030695838,0.011373322
8/17/2010,0.044786564,-0.01,-0.13,0.18,-0.013377926,-0.037225221,0.003151886,0.011290447
8/24/2010,-0.004164257,-0.02,-0.01,0.15,0.020338983,-0.002414784,0.021655314,0.010324379
8/31/2010,-0.057673847,0,0.19,0.16,-0.019933555,0.047211117,-0.007154234,0.011133627
9/8/2010,-0.029079688,0.01,0.07,0.15,0.016949153,0.02384263,-0.013354619,0.012779064
9/15/2010,0.015063854,0.01,-0.19,0.14,0.016666667,0.008186231,0.005887476,0.011213842
9/22/2010,0.009348472,0,-0.04,0.13,0.003278689,0.009212849,-0.009912891,0.010651304
9/29/2010,-0.02559838,-0.03,-0.08,0.13,0.022875817,0.013313175,0.001225095,0.010457772
10/6/2010,-0.008355073,0,0.05,0.16,0.028753994,0.015629719,0.015792975,0.008772856
10/13/2010,0.015313079,0.01,0.04,0.16,0.00310559,5.95E-05,0.028369492,0.008103032
10/20/2010,0.002911415,0,0.24,0.15,-0.043343653,0.003632673,-0.015305998,0.008819432
10/27/2010,-0.010647011,-0.01,-0.07,0.15,0.022653722,0.013116843,0.002757221,0.007111168
11/3/2010,-0.039743499,0,-0.02,0.16,0.047468354,0.017321113,-0.02793764,0.006705479
11/10/2010,0.043578448,0.01,0.23,0.16,-0.054380665,-0.032920052,-0.01027851,0.006821087
11/17/2010,0.001310941,0.02,0.02,0.14,-0.009584665,0.016765805,0.032255845,0.008035633
11/24/2010,-0.034590414,0,0.08,0.13,-0.035483871,0.019343308,-0.018640921,0.00885359
12/2/2010,-0.031925108,-0.02,0.24,0.14,-0.043478261,0.00938984,-0.049259532,0.010515148
12/9/2010,0.007642973,-0.01,0.25,0.16,-0.031468531,0.008004862,-0.001676381,0.00960359
12/16/2010,-0.026454141,0.01,-0.07,0.17,-0.025270758,0.011183813,0.010614004,0.009085965
12/23/2010,-0.005578573,-0.02,-0.09,0.16,-0.007407407,0.000692247,0.010349293,0.007688293
12/31/2010,-0.017064625,0.02,0.02,0.18,0.018656716,0.01102063,-0.01855272,0.005554393
1/7/2011,-0.032280702,0.01,0,0.16,0.003663004,0.017097908,-0.011735673,0.003698878
1/14/2011,0.017427847,0.01,0.07,0.15,-0.025547445,-0.001855823,0.024468632,0.004181841
1/24/2011,0.003113403,-0.01,0,0.14,0.003745318,-0.003656511,0.031027847,0.004597225
1/31/2011,-0.028455156,0.01,0.25,0.15,-0.055970149,0.025604185,-0.017119002,0.006344308
2/7/2011,-0.014171344,-0.03,-0.03,0.15,0,0.010060192,0.00550683,0.006890288
2/14/2011,0.026192421,-0.01,-0.15,0.18,0.035573123,-0.012669633,0.018570767,0.006710663
2/22/2011,0.009503991,0.02,-0.07,0.19,-0.011450382,-0.006925428,0.002316122,0.007838017
