5_Day_Dates,JPM,AIG,ALL,AMT,BAC,CCI,GS,SCHW
4/30/2010,0.042742984,0.005141558,0.026629827,0.047782712,0.092540482,0.054161138,0.015219976,0.104468283
5/7/2010,0.021344806,-0.026356794,-0.002201256,-0.059701624,-0.009888833,-0.020111664,-0.001678597,0.020325138
5/14/2010,-0.004010966,0.094662798,0.041732162,0.019426519,0.021419688,0.013417195,0.018222669,0.011855374
5/21/2010,0.01173524,0.016129023,-0.009669046,-0.003714487,0.015635046,-0.027754585,-0.028450957,0.019796019
5/28/2010,0.072258736,0.036743934,0.063989269,-0.033801843,0.05720369,0.032136177,0.038680056,0.02876376
6/7/2010,-0.016612252,-0.08832178,-0.044645811,-0.042243766,-0.039110035,-0.092633943,0.037785076,0.001260047
6/14/2010,-0.041253854,-0.045025676,-0.010684294,-0.033203387,-0.024659126,0.004596416,-0.032224613,0.035331422
6/21/2010,0.008489566,0.061403604,0.008919836,-0.004654137,0.034832132,0.00153916,0.007841209,0.020274641
6/28/2010,0.056054078,0.073391887,0.068999699,0.004853036,0.077427607,0.052158282,0.032196363,0.056742154
7/6/2010,-0.114230126,-0.126964929,-0.049767269,-0.010862137,-0.114508949,-0.038492724,-0.060411046,-0.032554937
7/13/2010,0.020997639,0.044221886,0.035812141,-0.021491349,0.121250761,-0.008875272,-0.061747204,-0.03358426
7/20/2010,-0.026747089,-0.078215305,-0.012027069,0.020824545,-0.030501261,-0.00827935,0.011282534,-0.010609892
7/27/2010,-0.009584975,-0.011238929,0.002096981,-0.018636165,-0.010570674,-0.045932429,-0.040480951,0.022309368
8/3/2010,0.046494861,-0.015155076,-0.030472894,-0.00452038,0.049511692,0.009568116,-0.004635251,-0.021476585
8/10/2010,0.043145147,0.093804275,0.040108925,-0.015855712,0.030814465,0.011394496,0.034503323,0.048812858
8/17/2010,0.033884862,0.059033499,0.025495465,0.025100195,0.043149398,-0.010774164,0.031226813,0.045769506
8/24/2010,-0.004142799,0.009920995,-0.010278802,-0.013846737,0.014240273,-0.019335716,0.046378546,0.072674518
8/31/2010,-0.07590718,-0.069259935,-0.054347505,-0.053350851,-0.073895651,-0.034776223,-0.077484939,-0.07601887
9/8/2010,-0.047546031,0.003307497,-0.047766258,0.009724518,-0.025429788,-0.0035251,-0.034024643,-0.013838193
9/15/2010,0.025378032,0.013551023,-0.015414845,-0.033142391,0.021152166,-0.000234232,0.029431366,0.020833116
9/22/2010,0.03830732,-0.049901669,-0.019056794,-0.025544519,0.023099932,-0.032076963,0.024650142,-0.023477364
9/29/2010,-0.040131894,-0.087850999,-0.018066621,0.020081179,-0.021357514,0.017468376,-0.04445336,-0.02150515
10/6/2010,0.001503547,-0.048355142,-0.025529153,-0.000197006,0.007468033,0.019857082,-0.025789125,0.012631242
10/13/2010,0.04367502,0.025755138,0.010321802,0.006107055,0.115876663,0.002355466,-0.031474384,-0.057569433
10/20/2010,0.014697923,-0.005047034,0.003680785,-0.004955305,0.017872412,0.005194923,-0.003446087,-0.043010584
10/27/2010,-0.00479469,-0.041845756,0.0772786,-0.028205049,0.001733243,-0.02777114,-0.015485514,0.001932889
11/3/2010,-0.07688273,0.013311494,-0.036369985,-0.018799507,-0.091145928,0.0286373,-0.028223734,0.003314108
11/10/2010,0.035450502,0.028146237,0.038956913,0.038976055,0.075576736,0.013314352,0.013934081,0.022106588
11/17/2010,0.026034168,0.000478753,0.001675341,-0.019592555,0.02925987,-0.020963993,0.028079431,-0.010638034
11/24/2010,-0.030136376,-0.026819957,-0.023986854,0.004419478,-0.036407688,-0.007316681,-0.016210173,-0.06315805
12/2/2010,-0.038158638,-0.114272525,-0.006928374,0.018529439,-0.0830478,0.011715324,-0.024308031,-0.040223066
12/9/2010,0.019603277,-0.090414203,-0.023263027,0.016912428,0.010276293,0.00521589,0.011955381,-0.011302333
12/16/2010,-0.051736887,-0.042802218,-0.022734744,-0.010802559,-0.043130132,-0.012631294,-0.01909286,-0.001176633
12/23/2010,-0.008079815,-0.060555887,0.001878356,-0.021966521,-0.021439975,-0.031536935,-0.003340786,-0.005288226
12/31/2010,-0.02994152,-0.061784057,0.018506921,0.022075604,-0.068215917,0.028063153,-0.015045342,-0.045587298
1/7/2011,-0.029101638,0.117358737,0.018536187,0.012871516,-0.070175415,0.043896472,-0.025250571,-0.052543215
1/14/2011,-0.002450093,0.063445542,-0.018560648,-0.023269952,0.087213135,-0.043211221,0.049714392,0.028677806
1/24/2011,0.001777487,0.038140766,0.004475773,0.002940698,0.013649498,0.007531289,0.016115514,0.01312194
1/31/2011,-0.012461163,-0.045353546,-0.023763732,-0.055053066,-0.068463424,-0.052881488,-0.021452602,-0.027700702
2/7/2011,-0.02285705,0.020863095,0.028858256,-0.043794047,-0.014996669,-0.03986452,-0.002333074,-0.036149624
2/14/2011,0.011387996,0.029781864,-0.025193964,0.054097291,0.047683102,0.071475141,0.027339666,0.016179469
2/22/2011,0.008911173,0.084102911,0.009451992,0.004907451,0.017630321,0.046652346,0.00790102,0.010080062
3/1/2011,-0.017544022,-0.016620973,-0.017811792,0.01138073,-0.055315938,0.020308602,6.23E-05,-0.024115937
3/8/2011,0.038577518,0.014205384,0.014784391,0.040291612,0.049693724,0.025973709,0.025108264,0.065934232
3/15/2011,-0.019278213,-0.004622395,-0.005108349,0.025989785,0.005730492,0.026154067,-0.022512,0.003361176
3/22/2011,-0.0120958,0.020838825,-0.004765017,-0.036740661,0.038184552,-0.083202141,0.014428817,-0.004497083
3/29/2011,-0.017657921,0.03316778,0.000632376,-0.004553372,-0.00898871,-0.035731341,-0.002776478,-0.044767739
4/5/2011,-0.001287799,0.025728979,0,0.021875895,0,0.003050742,-0.009502413,0.022496117
4/12/2011,0.042667165,0.057511626,0.017715672,0.00221661,0.083890316,0.007062319,0.053360006,0.020274106
4/19/2011,-0.019036729,0.013075964,-0.028663333,-0.067649301,0.000810428,-0.053817219,-0.006585175,-0.041387555
4/27/2011,0,0.001892698,-0.063869434,0.021373114,-0.012976647,0.060742529,0.008766285,0.036538295
5/4/2011,0.027912107,0.031289621,0.027368928,-0.03440276,0.01921526,-0.011017923,0.02402342,-0.015100889
5/11/2011,0.003391415,-0.005872762,0.018154097,0.02541089,0.037551039,0.018953091,0.047606381,0.026446245
5/18/2011,0.041061529,0.082711561,0.036980007,-0.041027482,0.034774963,0.000482543,0.032660821,0.009620998
5/25/2011,0.015613938,0.00954737,0.00418823,-0.001473529,0.007063888,-0.005556361,0.011112497,0.025142741
6/2/2011,0.01514059,-0.003213202,0.02296978,0.083302989,0.056687106,0.026669733,0.006325284,0.046893628
6/9/2011,0.01512931,0.002135423,0.021523497,-0.005416402,0.004694929,0.015798267,-0.019171704,0.022139992
6/16/2011,0.007185423,-0.022467903,-0.003722453,-0.047286551,-0.010377544,-0.02533225,0.027408229,-0.008176132
6/23/2011,-0.02171241,-0.022671778,-0.029332584,0.003048081,-0.023342193,0.002201635,-0.005515187,-0.026201155
6/30/2011,-0.001228697,-0.021146055,-0.000327478,-0.021975909,0.023722577,-0.046089699,-0.007438685,0.051671897
7/8/2011,0.018655053,0.057114256,0.035035965,0.004674618,0.06542073,0.007499402,0.029236097,0.037820491
7/15/2011,-0.0552777,-0.030463999,0.026467447,-0.001690473,-0.013000197,-0.001180632,-0.04094939,-0.028647535
7/22/2011,0.04124219,0.013406478,0.033809981,0.014815963,0.041460585,-0.023584853,0.003837885,0.03303117
7/29/2011,0.070457215,0.125435747,0.051587073,0.048544017,0.158599652,0.059907756,0.072534782,0.085063679
8/5/2011,0.044946866,0.078486086,0.044503476,-0.004401966,0.119950899,-0.01446101,0.069579616,0.095981
8/12/2011,0.043441999,0.041936751,0.030255002,0.027290962,0.030598287,0.03237519,0.040439457,0.091130931
8/19/2011,-0.054148644,-0.049639128,-0.003694544,-0.062052241,-0.113343124,-0.039200681,8.98E-05,-0.075201069
8/26/2011,0.043634618,-0.01719666,-0.02970313,-0.024681771,0.064569887,-0.015858244,0.039071139,0.03913369
9/2/2011,0.063817289,0.003381119,-0.012419657,0.015807426,0.027586268,0.01939453,0.03866978,0.006932486
9/12/2011,-0.002159259,-0.045801613,0.032053752,-0.055640938,0.008510405,-0.056681072,-0.018363554,-0.041012503
9/19/2011,0.02585422,0.048661852,0.038020899,0.030972988,0.055794122,0.050673597,0.054097982,0.026823708
9/26/2011,0.094786778,0.127877258,0.034849543,0.011962631,0.162121112,0.031016826,0.091385482,0.0585701
10/3/2011,-0.13732394,-0.084555153,-0.090268853,-0.057888836,-0.135623849,-0.044416646,-0.067273217,-0.122598572
10/10/2011,0.039009358,-0.002253358,0.024636561,0.015200266,0.039808735,-0.018056563,-0.007905235,0.026894961
10/17/2011,-0.113724398,-0.130395576,-0.120910896,-0.039404705,-0.114427543,-0.015636212,-0.073064937,-0.069514109
10/24/2011,-0.005496224,0.017899664,0.026967173,0.037386709,-0.016369233,0.049632351,-0.0535682,0.038371335
10/31/2011,0.014959937,0.039287359,-0.001898371,-0.058620923,0.05563704,-0.010638203,0.036330651,-0.035831033
11/7/2011,0.049357384,0.007588251,-0.003789368,0.016629643,0.06201512,0.002631698,0.05948649,0.039494641
11/14/2011,0.081105989,0.107476613,0.041525376,0.025453164,0.092562403,0.042935832,0.080471486,0.098684216
11/21/2011,0.045135443,-0.005711425,-0.014136538,-0.032915705,0.074681181,-0.019799045,0.023507978,-0.010036538
11/29/2011,-0.163515494,-0.138665397,-0.062279514,-0.025978867,-0.140039352,-0.069550821,-0.1390612,-0.103884675
12/6/2011,0.058381196,0.051122008,0.041297825,0.012911835,0.079584673,0.004136072,0.060498343,0.056464852
12/13/2011,-0.029402662,-0.040297624,-0.037307544,-0.028728716,0.028195295,-0.015228364,0.042718837,0.017346243
12/20/2011,-0.013660306,0.032842214,-0.007786556,-0.004514859,-0.023211141,0.003181877,0.009452396,0.008826714
12/28/2011,-0.100668786,-0.040922922,-0.020603328,-0.004661492,-0.192815887,-0.02553544,-0.049489603,-0.06144355
1/5/2012,-0.032791396,-0.063572104,-0.047945431,-0.034796969,-0.076069887,-0.028235254,-0.07009917,-0.046140457
1/12/2012,-0.013840181,-0.00865088,-0.026143457,0.015051881,-0.04123707,0.000648786,-0.074399503,-0.027265761
