"ticker","date","open","high","low","close","volume","dividends","closeunadj","lastupdated"
"SPY","2019-10-04",291.14,294.63,290.82,294.35,5.7644136e7,0.,294.35,"2019-10-04"
"SPY","2019-10-03",287.81,290.45,284.82,290.42,8.4057195e7,0.,290.42,"2019-10-03"
"SPY","2019-10-02",291.5,291.51,286.64,288.06,1.15921398e8,0.,288.06,"2019-10-02"
"SPY","2019-10-01",297.74,298.455,293.,293.24,8.7700368e7,0.,293.24,"2019-10-01"
"SPY","2019-09-30",295.97,297.55,295.92,296.77,4.6266983e7,0.,296.77,"2019-09-30"
"SPY","2019-09-27",297.83,297.947,293.69,295.4,7.2532588e7,0.,295.4,"2019-09-27"
"SPY","2019-09-26",297.63,297.86,295.45,297.,5.5925872e7,0.,297.,"2019-09-26"
"SPY","2019-09-25",295.96,298.11,294.33,297.62,6.5032259e7,0.,297.62,"2019-09-25"
"SPY","2019-09-24",299.41,299.84,294.81,295.87,8.9635417e7,0.,295.87,"2019-09-24"
"SPY","2019-09-23",297.55,299.,297.27,298.21,3.7787832e7,0.,298.21,"2019-09-23"
"SPY","2019-09-20",300.36,300.67,297.41,298.28,7.8269772e7,1.384,298.28,"2019-09-23"
"SPY","2019-09-19",301.53,302.63,300.71,301.08,7.4089557e7,0.,301.08,"2019-09-19"
"SPY","2019-09-18",300.49,301.22,298.24,301.1,7.0809072e7,0.,301.1,"2019-09-18"
"SPY","2019-09-17",299.94,301.02,299.75,300.92,3.9856384e7,0.,300.92,"2019-09-17"
"SPY","2019-09-16",299.84,301.138,299.45,300.16,5.4546483e7,0.,300.16,"2019-09-16"
"SPY","2019-09-13",301.78,302.17,300.68,301.09,5.6738128e7,0.,301.09,"2019-09-13"
"SPY","2019-09-12",301.25,302.46,300.41,301.29,7.0112013e7,0.,301.29,"2019-09-12"
"SPY","2019-09-11",298.47,300.34,297.75,300.25,6.2405034e7,0.,300.25,"2019-09-11"
"SPY","2019-09-10",297.36,298.2,295.97,298.13,5.6167539e7,0.,298.13,"2019-09-10"
"SPY","2019-09-09",299.14,299.24,297.16,298.2,5.0216262e7,0.,298.2,"2019-09-09"
"SPY","2019-09-06",298.17,298.76,297.42,298.05,4.9510922e7,0.,298.05,"2019-09-07"
"SPY","2019-09-05",296.79,298.83,294.001,297.75,8.3197295e7,0.,297.75,"2019-09-07"
"SPY","2019-09-04",293.14,294.055,292.31,293.97,4.2453235e7,0.,293.97,"2019-09-04"
"SPY","2019-09-03",290.57,291.58,289.27,290.75,6.9078772e7,0.,290.75,"2019-09-07"
