12/31/1987,EQ-DE,EQ-EM,BO-CO,NAREIT,Gold,Risk Free
1/29/1988,0.022595921,0.09419,0.032971884,0.082345423,-0.072403774,0.0029
2/29/1988,0.056254239,0.002403604,0.002480413,0.02410361,0.003467096,0.0046
3/31/1988,0.028464906,0.099934356,-0.009626828,0.001998517,0.017900654,0.0044
4/29/1988,0.010892996,0.046608589,-0.009099518,0.008231915,-0.00106272,0.0046
5/31/1988,-0.021686558,0.026539211,0.014795373,-0.011461159,0.000585984,0.0051
6/30/1988,-0.003092176,0.031577648,0.003090542,0.02589899,-0.030361801,0.0049
7/29/1988,0.017088814,-0.028337447,0.004445726,0.012646909,-0.014512989,0.0051
8/31/1988,-0.056618802,-0.030803334,0.022931694,-0.006356942,-0.04132545,0.0059
9/30/1988,0.040634781,0.062079591,0.01477436,-0.003426723,-0.016141056,0.0062
10/31/1988,0.064787255,-0.008935515,0.001547431,-0.007430384,0.032910168,0.0061
11/30/1988,0.033104316,-0.005884971,0.002651011,-0.016007462,-0.002667883,0.0057
12/30/1988,0.00738996,0.023603342,0.006027816,0.001210106,-0.035874087,0.0063
1/31/1989,0.034551037,-0.016386028,0.004337637,0.004579862,-0.040856936,0.0055
2/28/1989,-0.007872753,0.074347397,0.000241625,-0.01653384,0.006819223,0.0061
3/31/1989,-0.008035721,0.094496366,0.011686242,-0.000283515,-0.014737921,0.0067
4/28/1989,0.021420086,0.181099031,0.019483297,0.016737473,-0.034741836,0.0067
5/31/1989,-0.026111021,0.009954299,0.040654632,0.023779124,-0.009291349,0.0079
6/30/1989,-0.012930268,-0.122482212,0.017698072,0.008725985,0.020240517,0.0071
7/31/1989,0.111285324,0.062516459,0.001884033,0.023772558,-0.026383756,0.007
8/31/1989,-0.025723882,0.020237128,0.003415803,0.000970588,-0.009305784,0.0074
9/29/1989,0.026631039,0.124166685,0.013483346,-0.011820177,0.014205723,0.0065
10/31/1989,-0.034917012,0.011684474,0.007379116,-0.041310561,0.074621041,0.0068
11/30/1989,0.038275626,-0.048021182,0.006701434,-0.013546625,0.038360164,0.0069
12/29/1989,0.030534323,0.120319349,-0.006551321,-0.011385134,0.001768009,0.0061
1/31/1990,-0.048285149,0.030615097,-0.005083585,-0.022296058,0.016339333,0.0057
2/28/1990,-0.044556473,0.038351162,0.002390795,-0.034298289,-0.05698258,0.0057
3/30/1990,-0.06216102,-0.138872809,-0.000184245,0.00165726,-0.047873172,0.0064
4/30/1990,-0.016320187,0.064725802,0.007832606,-0.015335504,-0.013867291,0.0069
5/31/1990,0.10333416,0.080448694,0.021948359,-0.000336388,-0.045309093,0.0068
6/29/1990,-0.008937328,0.033127859,0.008081945,0.007631447,0.028946061,0.0063
7/31/1990,0.007244316,0.085343812,-0.004103489,-0.017991932,0.088814078,0.0068
8/31/1990,-0.095480924,-0.130366638,-0.000380186,-0.061051584,-0.013692423,0.0066
9/28/1990,-0.107531916,-0.129999099,0.009185952,-0.069322685,-0.022046939,0.006
10/31/1990,0.090973543,-0.019887305,0.015938886,-0.035019662,0.002589357,0.0068
11/30/1990,-0.018607573,-0.054373098,0.019925735,0.063690606,-0.01251671,0.0057
12/31/1990,0.018710959,0.034667352,0.007673967,0.000381579,0.017752035,0.006
1/31/1991,0.034364187,0.081172163,0.021078181,0.087621729,-0.05163358,0.0052
2/28/1991,0.090465388,0.147033848,0.000804542,0.0492,-0.001360526,0.0048
3/29/1991,-0.0313308,0.037482526,0.017777701,0.076221213,-0.013641484,0.0044
4/30/1991,0.00590762,0.003018041,0.009914707,0.023765786,-0.003999495,0.0053
5/31/1991,0.020741538,0.075391395,-0.001416391,0.023589193,0.027377482,0.0047
6/28/1991,-0.063577228,-0.037751782,0.009525158,-0.02590628,0.002637678,0.0042
7/31/1991,0.045232919,0.049509235,0.0277186,0.019281898,-0.030950481,0.0049
8/30/1991,-0.005090997,0.018330771,0.017190974,0.000608445,-0.021236502,0.0046
9/30/1991,0.024266309,-0.039456457,0.012024156,0.019299176,0.028528175,0.0046
10/31/1991,0.01430198,0.039859911,0.013345476,-0.00616739,0.004125353,0.0042
11/29/1991,-0.045481446,-0.015851067,0.020360731,0.0002268,0.004326701,0.0039
12/31/1991,0.070740849,0.111724467,0.009454166,0.047312398,-0.020118247,0.0038
1/31/1992,-0.020389866,0.115424036,-0.003855825,0.0495098,-0.001510032,0.0034
2/28/1992,-0.019155379,0.042954708,-0.000627416,-0.02321553,-0.027057921,0.0028
3/31/1992,-0.049039467,0.031604294,0.01288388,-0.01487218,-0.016608364,0.0034
4/30/1992,0.011891426,-0.011930695,0.012210766,0.002233,-0.004069566,0.0032
5/29/1992,0.037721746,-0.005933713,0.013760564,0.0322,0.010571336,0.0028
6/30/1992,-0.035511471,-0.102518081,0.027346111,-0.01211474,0.034961446,0.0032
7/31/1992,0.000446083,0.009364393,0.016401678,0.033834,-0.027393052,0.0031
8/31/1992,0.022177163,-0.048446722,0.012119524,-0.008649259,0.006914425,0.0026
9/30/1992,-0.011219078,0.002143539,-0.00593267,0.023857,-0.003039694,0.0026
10/30/1992,-0.029082569,0.052912752,-0.006264887,-0.0032704,-0.027187674,0.0023
11/30/1992,0.015890737,-0.011542846,0.010872944,0.01945427,-0.000638879,0.0023
12/31/1992,0.006109938,0.028994789,0.015660966,0.019338,-0.017301631,0.0028
1/29/1993,0.001410088,0.004000902,0.02124273,0.0636776,0.000911826,0.0023
2/26/1993,0.02177437,0.015939833,0.019435009,0.047126,0.002332941,0.0022
3/31/1993,0.056081215,0.031335901,0.007161833,0.0694426,0.036572354,0.0025
4/30/1993,0.044519732,0.017588554,0.002949658,-0.044076,0.073151972,0.0024
5/31/1993,0.021300408,0.024537111,0.010073169,-0.012213,0.012832876,0.0022
6/30/1993,-0.010080828,0.027287677,0.0148011,0.0293464,0.054579789,0.0025
7/30/1993,0.018910929,0.023707862,0.015278667,0.016892,-0.034041122,0.0024
8/31/1993,0.044180209,0.083222522,0.020972732,0.0239863,-0.062198326,0.0025
9/30/1993,-0.020080987,0.035604636,0.005139073,0.0456187,0.025061069,0.0026
10/29/1993,0.025930109,0.089106165,-0.013199562,-0.0125951,0.026494423,0.0022
